model,map_type,normalised,use_other,content_normalised,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
GeneralSheaf,,False,False,False,zero,last,first,1.3469094057798459,0.5906831014772055,10,1.2477323941357856,0.18597854215020143,110
GeneralSheaf,,False,False,False,zero,last,last,5.536305953532823,2.635700631684359,10,5.292912331319498,0.8931816311118669,110
GeneralSheaf,,False,False,False,zero,last,middle,12.124823689028688,7.012535257855575,8,10.912057579546385,1.255547806617755,200
GeneralSheaf,,False,True,True,topological,epoch-0,first,0.4080245948919289,0.04692187895927501,10,0.40802459489192894,0.014466883902783025,100
GeneralSheaf,,False,True,True,topological,epoch-0,last,0.4198371863607007,0.05244427452106336,10,0.41983718636070066,0.016262476841529268,100
GeneralSheaf,,False,True,True,topological,epoch-0,middle,0.419227136406488,0.0623936490519992,8,0.4493866847194111,0.012837576063446245,190
GeneralSheaf,,False,True,True,topological,epoch-1,first,0.41636723444219886,0.05081461324555122,10,0.4163672344421988,0.015712621780784548,100
GeneralSheaf,,False,True,True,topological,epoch-1,last,0.4252009868012552,0.057097747936167495,10,0.4252009868012551,0.017573142551834665,100
GeneralSheaf,,False,True,True,topological,epoch-1,middle,0.45186265499762107,0.06597010710321877,8,0.486843407911023,0.013463627704108852,190
GeneralSheaf,,False,True,True,topological,epoch-15,first,0.4243074326061726,0.05348983075915648,10,0.42430743260617265,0.016590756086787273,100
GeneralSheaf,,False,True,True,topological,epoch-15,last,0.3976846360322698,0.07451410925959702,10,0.3976846360322698,0.023202940618728556,100
GeneralSheaf,,False,True,True,topological,epoch-15,middle,0.42035103816632935,0.07012138470225462,8,0.4414281713046195,0.015042426347349891,190
GeneralSheaf,,False,True,True,topological,epoch-200,first,0.28655446541159163,0.05817516341785295,10,0.28655446541159163,0.01840152422585655,100
GeneralSheaf,,False,True,True,topological,epoch-200,last,0.20315042596777672,0.03354211850426295,10,0.20315042596777672,0.014348650172153773,100
GeneralSheaf,,False,True,True,topological,epoch-200,middle,0.20700188904379135,0.07004766898141039,8,0.24272901040225167,0.017541164277484745,190
GeneralSheaf,,False,True,True,topological,epoch-5,first,0.4504192327949525,0.050493103810861535,10,0.4504192327949525,0.01576591510399185,100
