combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (mean),0.2,deg_matched_low,Degree-matched (low),8,80,1.2251972180388702,0.6591231294684835,0.2107026694215811
masking (mean),0.2,conf_high,High confidence,8,80,1.5707108009507293,0.47563813319043585,0.16743863959412833
masking (mean),0.2,conf_low,Low confidence,8,80,1.2932593917231756,0.584519975037708,0.19371098576569587
masking (mean),0.2,random,Random,8,80,1.1837828959568988,0.6030172435004398,0.19647128226364158
masking (mean),0.3,high,High conviction,8,80,5.220780289832565,2.2979423315964134,0.7002540919453779
masking (mean),0.3,low,Low conviction,8,80,0.5479497257783759,0.33268191425580745,0.1226967209786434
masking (mean),0.3,deg_high,High degree,8,80,2.9059640508719236,1.1693870161523716,0.38055203620648737
masking (mean),0.3,deg_low,Low degree,8,80,1.4330983587815385,0.7989161783086675,0.24599222342554097
masking (mean),0.3,deg_matched_high,Degree-matched (high),8,80,1.044366457200476,0.6675362087807504,0.2417852431604991
masking (mean),0.3,deg_matched_low,Degree-matched (low),8,80,2.247896037255892,1.257932189434304,0.38400824760054697
masking (mean),0.3,conf_high,High confidence,8,80,2.2523555405856723,0.7830965964319011,0.25626998358557196
masking (mean),0.3,conf_low,Low confidence,8,80,1.9943007496557483,0.9421287789560724,0.29792965981436736
masking (mean),0.3,random,Random,8,80,1.888033731341509,0.9416338430348301,0.3028472731182062
masking (zero),0.01,high,High conviction,8,80,0.5603063205711517,0.17130505290279535,0.0716702165163187
masking (zero),0.01,low,Low conviction,8,80,0.013322123183881224,0.00955194091806055,0.013254251173583007
masking (zero),0.01,deg_high,High degree,8,80,0.3703217511869903,0.1614727513987242,0.07288066287267192
masking (zero),0.01,deg_low,Low degree,8,80,0.03285019475276545,0.02033025378964942,0.011494116260535947
masking (zero),0.01,deg_matched_high,Degree-matched (high),8,80,0.06810722530278293,0.04000613763519204,0.02747851400507531
masking (zero),0.01,deg_matched_low,Degree-matched (low),8,80,0.0559829282340029,0.0313967380476455,0.017487415100845307
masking (zero),0.01,conf_high,High confidence,8,80,0.15131238994892482,0.07069136024636669,0.03726463075642352
masking (zero),0.01,conf_low,Low confidence,8,80,0.04308905378864155,0.03149991567041225,0.022745650064498225
masking (zero),0.01,random,Random,8,80,0.06891177273286114,0.03666716096073542,0.01734105008440955
masking (zero),0.05,high,High conviction,8,80,1.677435682906864,0.5726951821973273,0.18641974791523577
