combo,criterion,label,bin,n_datasets,n_folds_total,drop_mean,drop_se,total_se,rho_mean,rho_n_positive
masking (zero),conviction,Conviction,6,8,80,0.3526062795443933,0.26924791377765966,0.10416276169213888,0.44848484848484843,7
masking (zero),conviction,Conviction,7,8,80,0.4852182294072096,0.3230730572962798,0.10673375430384155,0.44848484848484843,7
masking (zero),conviction,Conviction,8,8,80,0.5750992719531671,0.38129119501071795,0.12771503273847465,0.44848484848484843,7
masking (zero),conviction,Conviction,9,8,80,0.947760418579089,0.49144928419761047,0.16240905991443494,0.44848484848484843,7
masking (zero),conviction,Conviction,10,8,80,2.596183059130664,0.9165622407443512,0.2895889599862804,0.44848484848484843,7
masking (zero),confidence,Confidence,1,8,80,0.35162353397521084,0.2101149429289725,0.09131520767303157,0.21060606060606057,6
masking (zero),confidence,Confidence,2,8,80,0.36466518797029784,0.20769260545077428,0.07693342383981538,0.21060606060606057,6
masking (zero),confidence,Confidence,3,8,80,0.3889979948067036,0.25914244003987824,0.08777520701597664,0.21060606060606057,6
masking (zero),confidence,Confidence,4,8,80,0.42278633914584984,0.24618698380831242,0.08829228865698902,0.21060606060606057,6
masking (zero),confidence,Confidence,5,8,80,0.4785698426313438,0.3813175883861354,0.14050205495395254,0.21060606060606057,6
masking (zero),confidence,Confidence,6,8,80,0.5770137816268273,0.4117251664627127,0.14213135517036088,0.21060606060606057,6
masking (zero),confidence,Confidence,7,8,80,0.6101613725236077,0.36862716043237603,0.11852594727414678,0.21060606060606057,6
masking (zero),confidence,Confidence,8,8,80,0.5817296964854324,0.3673822756525485,0.12192548776165714,0.21060606060606057,6
masking (zero),confidence,Confidence,9,8,80,0.6132229316737523,0.2882485517780301,0.102696872895283,0.21060606060606057,6
masking (zero),confidence,Confidence,10,8,80,0.9193592481399641,0.2760898724760231,0.10580852933030349,0.21060606060606057,6
masking (zero),degree,Degree,1,8,80,0.3804906199967012,0.2091286561709221,0.07188829653822013,0.37727272727272726,6
masking (zero),degree,Degree,2,8,80,0.41691934934964825,0.22001484936376717,0.07403603412753293,0.37727272727272726,6
masking (zero),degree,Degree,3,8,80,0.4086663825334904,0.24305651399518968,0.08374346963923618,0.37727272727272726,6
masking (zero),degree,Degree,4,8,80,0.3704352829105204,0.2699402260487111,0.09283142615395201,0.37727272727272726,6
masking (zero),degree,Degree,5,8,80,0.45203621802274147,0.29007996310070455,0.10369534516617981,0.37727272727272726,6
masking (zero),degree,Degree,6,8,80,0.4568774510856799,0.30824917685206593,0.10352221191908648,0.37727272727272726,6
masking (zero),degree,Degree,7,8,80,0.5546417835592318,0.29300976305460885,0.09844161779618656,0.37727272727272726,6
masking (zero),degree,Degree,8,8,80,0.4438032133424651,0.30722884387678256,0.11205416477082843,0.37727272727272726,6
masking (zero),degree,Degree,9,8,80,0.5642333243661688,0.33916103779035767,0.1279027596627453,0.37727272727272726,6
masking (zero),degree,Degree,10,8,80,1.0555048232998274,0.4032247811215693,0.15522214864848166,0.37727272727272726,6
