combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (mean),0.2,low,Low conviction,8,80,0.30433146075958,0.17551738620191115,0.07160190467290262
masking (mean),0.2,deg_high,High degree,8,80,2.13215102134135,0.9362897547970191,0.31005850075217206
masking (mean),0.2,deg_low,Low degree,8,80,0.882841274098251,0.48419554818484467,0.15140225320552633
masking (mean),0.2,deg_matched_high,Degree-matched (high),8,80,0.7385366351919138,0.5534984247262789,0.19252796668916147
masking (mean),0.2,deg_matched_low,Degree-matched (low),8,80,1.1780383474107208,0.6596532275901419,0.20329739902153368
masking (mean),0.2,conf_high,High confidence,8,80,1.5707127096065006,0.47564136828153214,0.16743970539391034
masking (mean),0.2,conf_low,Low confidence,8,80,1.2932734182493812,0.5845234200171627,0.19371046644605355
masking (mean),0.2,random,Random,8,80,1.1837833663399162,0.6030220792853809,0.1964732538169406
masking (mean),0.3,high,High conviction,8,80,5.058122305349857,2.1351847317087125,0.652916618141594
masking (mean),0.3,low,Low conviction,8,80,0.5134543761423247,0.36602339162942227,0.14083729931585542
masking (mean),0.3,deg_high,High degree,8,80,2.9059704549605945,1.1693843584566168,0.3805506256952547
masking (mean),0.3,deg_low,Low degree,8,80,1.4331305454905512,0.7989281502478532,0.2459945385030985
masking (mean),0.3,deg_matched_high,Degree-matched (high),8,80,1.1094489510962562,0.6617870440148312,0.2319945474010617
masking (mean),0.3,deg_matched_low,Degree-matched (low),8,80,2.234385726848969,1.2286446721196873,0.37814775892767416
masking (mean),0.3,conf_high,High confidence,8,80,2.2524000998668035,0.7830980006752792,0.25627051645093624
masking (mean),0.3,conf_low,Low confidence,8,80,1.994287216266545,0.9421331420223585,0.29793077725244693
masking (mean),0.3,random,Random,8,80,1.887994034116511,0.9416429435791229,0.30284976068685965
masking (zero),0.01,high,High conviction,8,80,0.5189305486790747,0.17152347343849694,0.07405262187669985
masking (zero),0.01,low,Low conviction,8,80,0.020643659771497215,0.00943335338362966,0.01390598077689304
masking (zero),0.01,deg_high,High degree,8,80,0.3703321154404995,0.1614616867537377,0.07287733476976109
masking (zero),0.01,deg_low,Low degree,8,80,0.03283791217925985,0.02033422457156923,0.01149705572390627
masking (zero),0.01,deg_matched_high,Degree-matched (high),8,80,0.04721037799163039,0.05411842563926568,0.03231369063548797
masking (zero),0.01,deg_matched_low,Degree-matched (low),8,80,0.05832300490931447,0.02869053698177086,0.013398725851386933
masking (zero),0.01,conf_high,High confidence,8,80,0.15132376097436329,0.0706835345483506,0.03726319367832002
masking (zero),0.01,conf_low,Low confidence,8,80,0.04310692561014544,0.03149172058225329,0.022747650406576645
masking (zero),0.01,random,Random,8,80,0.06890292815858626,0.03667144346606351,0.01734140904561114
