combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
gating (hard),0.2,random,Random,8,80,1.4621357654976008,0.6928010648772722,0.22390635750018295
gating (hard),0.3,high,High conviction,8,80,5.666378599531532,1.8928256580421141,0.5917768855782826
gating (hard),0.3,low,Low conviction,8,80,0.7058974800561945,0.44648433633990436,0.16436477600098137
gating (hard),0.3,deg_high,High degree,8,80,3.668012171755919,1.0356958875178002,0.3454728708940087
gating (hard),0.3,deg_low,Low degree,8,80,1.9071623894017753,0.9770188614780315,0.301672317018753
gating (hard),0.3,deg_matched_high,Degree-matched (high),8,80,1.4391303001756537,0.8588921797488709,0.2762747763753275
gating (hard),0.3,deg_matched_low,Degree-matched (low),8,80,2.707517210666098,1.3581391838114696,0.4134898446824656
gating (hard),0.3,conf_high,High confidence,8,80,3.268149245945552,0.9787757230867291,0.3178463167387406
gating (hard),0.3,conf_low,Low confidence,8,80,2.0304675673966517,0.9544726598286689,0.30191952900771857
gating (hard),0.3,random,Random,8,80,2.212763774380381,1.0312758675785438,0.3213172516653795
masking (mean),0.01,high,High conviction,8,80,0.49858467673366397,0.15764037003082046,0.07153572422978377
masking (mean),0.01,low,Low conviction,8,80,0.013818948964320437,0.017147562173351557,0.013184011947132274
masking (mean),0.01,deg_high,High degree,8,80,0.3771768148507871,0.1564665007825299,0.06968929455752448
masking (mean),0.01,deg_low,Low degree,8,80,0.03179264589686296,0.01847593901972545,0.01030650464241155
masking (mean),0.01,deg_matched_high,Degree-matched (high),8,80,0.08861659640625136,0.07314687705243265,0.037244735295416415
masking (mean),0.01,deg_matched_low,Degree-matched (low),8,80,0.06116086660726187,0.03585807591594147,0.014286046108220164
masking (mean),0.01,conf_high,High confidence,8,80,0.15279945749653967,0.07441160438474313,0.036183671236009275
masking (mean),0.01,conf_low,Low confidence,8,80,0.06248382314249966,0.043946728012424364,0.024751224234332035
masking (mean),0.01,random,Random,8,80,0.07695110006701936,0.03682665946626187,0.017497726865239507
masking (mean),0.05,high,High conviction,8,80,1.3373780592960232,0.3882597645362179,0.13951176159830808
masking (mean),0.05,low,Low conviction,8,80,0.07695439380930286,0.04964173490227463,0.02682162977136834
masking (mean),0.05,deg_high,High degree,8,80,0.9379047925523805,0.38020156411847145,0.1289980612056386
masking (mean),0.05,deg_low,Low degree,8,80,0.18273513941858077,0.10563874220733953,0.03770302222158127
masking (mean),0.05,deg_matched_high,Degree-matched (high),8,80,0.2965285461053563,0.21374639845601423,0.07513156888786238
masking (mean),0.05,deg_matched_low,Degree-matched (low),8,80,0.2553763247270072,0.14725573554233914,0.0530295559382065
masking (mean),0.05,conf_high,High confidence,8,80,0.5125028300705625,0.15797716644513488,0.06943962443164864
masking (mean),0.05,conf_low,Low confidence,8,80,0.29912170270891203,0.15039522063138278,0.0632087869903944
masking (mean),0.05,random,Random,8,80,0.250006827400199,0.15890253705229995,0.056983571897025964
masking (mean),0.1,high,High conviction,8,80,2.1945154507667617,0.7228557411500047,0.23826644729408678
masking (mean),0.1,low,Low conviction,8,80,0.1430951889375741,0.09608229761991018,0.04604909454471137
masking (mean),0.1,deg_high,High degree,8,80,1.345413829524427,0.5869246590547592,0.19270408580636825
masking (mean),0.1,deg_low,Low degree,8,80,0.41180624151699474,0.22450022832096053,0.07518668936194696
masking (mean),0.1,deg_matched_high,Degree-matched (high),8,80,0.5248075028994799,0.3692736863535024,0.12788118265907997
masking (mean),0.1,deg_matched_low,Degree-matched (low),8,80,0.49589853532410644,0.3010189350237028,0.10004943554219964
masking (mean),0.1,conf_high,High confidence,8,80,0.8606082564082687,0.23843262945948146,0.09659090464583373
masking (mean),0.1,conf_low,Low confidence,8,80,0.612181832657549,0.28275762983046393,0.10653059603568407
masking (mean),0.1,random,Random,8,80,0.4633430120497709,0.3172644105426531,0.11515930245151866
masking (mean),0.2,high,High conviction,8,80,3.6085627590906433,1.2963169925476123,0.4042663677813663
masking (mean),0.2,low,Low conviction,8,80,0.3626152897859981,0.17061274696007242,0.07077775136674372
masking (mean),0.2,deg_high,High degree,8,80,2.132145837255048,0.9362857401587743,0.3100564664368147
masking (mean),0.2,deg_low,Low degree,8,80,0.882822448233778,0.48419265199423656,0.15140086146077994
masking (mean),0.2,deg_matched_high,Degree-matched (high),8,80,0.7731192127624019,0.6293517793580753,0.2135329714439231
masking (mean),0.2,deg_matched_low,Degree-matched (low),8,80,1.2817846177704808,0.6894788505633943,0.21777959028785604
masking (mean),0.2,conf_high,High confidence,8,80,1.5707053817475596,0.47564226325816733,0.16743921684013424
masking (mean),0.2,conf_low,Low confidence,8,80,1.2932473180517465,0.5845193464799194,0.1937094030940774
masking (mean),0.2,random,Random,8,80,1.1834549162238606,0.60283246145948,0.19641544763446425
masking (mean),0.3,high,High conviction,8,80,4.663165015604746,1.8464815636227163,0.5688915626659835
masking (mean),0.3,low,Low conviction,8,80,0.5687562838512482,0.37579866978203535,0.14796978295098998
masking (mean),0.3,deg_high,High degree,8,80,2.9064195777566235,1.1694121752677205,0.38057213709114895
masking (mean),0.3,deg_low,Low degree,8,80,1.4331088181764695,0.7989188453115996,0.2459928370302156
