criterion,bin,metric,mean,se,n_folds,n_nodes
conviction,10,conf,0.9699547350406647,0.0008981512442256204,10,2446.0
confidence,1,conf,0.9724111199378968,0.0007332520582961399,10,2446.0
confidence,2,conf,0.9724586129188537,0.0007733562487873623,10,2446.0
confidence,3,conf,0.9724458277225494,0.0007679974505018514,10,2446.0
confidence,4,conf,0.9723862051963806,0.0007721059523321522,10,2446.0
confidence,5,conf,0.9723841428756714,0.000765604654084612,10,2446.0
confidence,6,conf,0.972353732585907,0.0007654333578730994,10,2446.0
confidence,7,conf,0.9722424864768981,0.0007386540400363658,10,2446.0
confidence,8,conf,0.9721039891242981,0.0007570673771377849,10,2446.0
confidence,9,conf,0.9715336501598358,0.0008192641870986525,10,2446.0
confidence,10,conf,0.971374922990799,0.0008998302209052546,10,2446.0
degree,1,conf,0.9721278846263885,0.0007894491841702875,10,2446.0
degree,2,conf,0.9721289098262786,0.0007889919874059689,10,2446.0
degree,3,conf,0.9721281051635742,0.0007902146471858006,10,2446.0
degree,4,conf,0.972139585018158,0.0007853584697668891,10,2446.0
degree,5,conf,0.9721079766750336,0.000778397356409958,10,2446.0
degree,6,conf,0.9722467839717865,0.0007870442830157225,10,2446.0
degree,7,conf,0.9723202466964722,0.0007858855377040647,10,2446.0
degree,8,conf,0.9724639058113098,0.0007755777933294233,10,2446.0
degree,9,conf,0.9727102041244506,0.0007867475817957085,10,2446.0
degree,10,conf,0.9716174721717834,0.0008045951161344202,10,2446.0
baseline,0,auc,0.7666903712460373,0.004547760286211776,10,0
conviction,1,auc,0.7659819583522853,0.0044310155703436525,10,2446.0
conviction,2,auc,0.7665402935519695,0.0044826098669953135,10,2446.0
conviction,3,auc,0.7663771244652038,0.004400660465947724,10,2446.0
conviction,4,auc,0.7664721929121768,0.0044817568871563076,10,2446.0
conviction,5,auc,0.7665188786194699,0.004495889006276515,10,2446.0
conviction,6,auc,0.766224599350279,0.004463135186152112,10,2446.0
conviction,7,auc,0.7664343733332719,0.00457816597832126,10,2446.0
conviction,8,auc,0.7662089335479061,0.00453955265967102,10,2446.0
conviction,9,auc,0.7657340415461236,0.004575450795688713,10,2446.0
conviction,10,auc,0.7582963411058187,0.003817128606204175,10,2446.0
confidence,1,auc,0.7640706381072663,0.0038222719929661936,10,2446.0
confidence,2,auc,0.765002343520915,0.004588113389982002,10,2446.0
confidence,3,auc,0.7658756225338195,0.004324411849105789,10,2446.0
confidence,4,auc,0.7657552948564911,0.004529895066946013,10,2446.0
confidence,5,auc,0.7666402799295329,0.004404418332451729,10,2446.0
confidence,6,auc,0.7661956458997621,0.004472893996353008,10,2446.0
confidence,7,auc,0.7664977753867964,0.00466548050856583,10,2446.0
confidence,8,auc,0.7664666054041823,0.004488024395639628,10,2446.0
confidence,9,auc,0.7659304355254682,0.004633650312189005,10,2446.0
confidence,10,auc,0.7635884846539787,0.004465560711824084,10,2446.0
degree,1,auc,0.766151626957648,0.0046709274480174244,10,2446.0
degree,2,auc,0.7661273259156471,0.004683458667958762,10,2446.0
degree,3,auc,0.766424075694571,0.004361908035161237,10,2446.0
degree,4,auc,0.7664115499793356,0.004620479435670457,10,2446.0
degree,5,auc,0.7662285937258287,0.0045375211696912715,10,2446.0
degree,6,auc,0.7662298751584474,0.004390859770428329,10,2446.0
degree,7,auc,0.7660494702257399,0.004538805459290036,10,2446.0
degree,8,auc,0.7665550127104263,0.004447046077781898,10,2446.0
degree,9,auc,0.7664413923515789,0.004424932063731642,10,2446.0
degree,10,auc,0.7615658298488371,0.003785659554524151,10,2446.0
