dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,1,947.0,0.8903397560119629,0.0012668594881239752,10,0.9519703808895876,0.9365377673495171,287.1,0.9830154501864679
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,2,947.0,0.8903144061565399,0.001380949240989604,10,0.9519703808895876,0.9344373251511596,318.1,0.98134789557805
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,3,947.0,0.8899847805500031,0.0013590137810955544,10,0.9519703808895876,0.9312291309448606,329.1,0.9809696323921152
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,4,946.0,0.8896298170089721,0.0013583509677206026,10,0.9520210985444033,0.9260355563577294,375.8,0.9785786585690692
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,5,946.0,0.8897819459438324,0.001636152833560115,10,0.9520210985444033,0.9228995578016423,366.3,0.9788183900697884
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,6,946.0,0.8894016146659851,0.0014612933639972325,10,0.9520210985444033,0.9192897752910388,370.0,0.979175323637526
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,7,946.0,0.8889198720455169,0.0012209670491205114,10,0.9520210985444033,0.9085078061546792,407.2,0.9761333972617334
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,8,946.0,0.8893002033233642,0.001656130090643189,10,0.9520210985444033,0.8968527208735674,448.6,0.9745564967236696
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,9,946.0,0.889452338218689,0.0012395445626566235,10,0.9520210985444033,0.8776599584875011,503.8,0.9713920409141762
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,confidence,10,946.0,0.8879310369491578,0.0013349333443282746,10,0.9520210985444033,0.833629636314412,908.9,0.9492781418145009
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,1,947.0,0.8908468604087829,0.0014127276942373067,10,0.9519703808895876,0.9786345997653643,1.0,1.0
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,2,947.0,0.890821498632431,0.0013302057146044781,10,0.9519703808895876,0.9786345997653643,1.0,1.0
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,3,947.0,0.8905679404735565,0.0013994462639223503,10,0.9519703808895876,0.9786345997653643,1.0,1.0
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,4,946.0,0.8909482836723328,0.0014677215631359536,10,0.9520210985444033,0.9786571609060554,1.0,1.0
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,5,946.0,0.8903904676437377,0.001419899176882202,10,0.9520210985444033,0.9705509430556809,15.9,0.9986415214959246
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,6,946.0,0.890263682603836,0.0012907652111883217,10,0.9520210985444033,0.9574271275155672,41.2,0.9953651909860957
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,7,946.0,0.8903397560119629,0.001433957909009777,10,0.9520210985444033,0.943107571518816,83.1,0.9928133823451069
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,8,946.0,0.8901622712612152,0.0014582101935180878,10,0.9520210985444033,0.908663478025449,301.4,0.9807042778754461
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,9,946.0,0.8885395467281342,0.0011469893178565449,10,0.9520210985444033,0.8279374605180037,1192.2,0.9310532203931597
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,degree,10,946.0,0.8820740401744842,0.0015536823561938908,10,0.9520210985444033,0.5765995848750113,3415.5,0.8111341963667359
